"1. Are you a: ( Check as many as apply)","2. Currently you are studying / working / living in:","2.a. If you selected Other, please specify:","3. What is your annual household income?","4. What is the highest degree or level of education you have completed?","5. Please rate on scale from 1 ro 5 what the effects of a Four-Day School week would be on Students? 1 (negative effect) to 5 ( maximum benefit)","5.1. How would it affect the students academically","5.2. The effects of a longer school day","5.3. School activities/ extra-curriculum (using the extra day off)","5.4. Student safety","5.5. Students-wellbeing","5.6. Attendance","5.7. Students Outcomes (more time for studying and tutoring)","6. Please rate the effects of moving to a Four-Day School Week for parents/ families. 1 (negative effect) to 5 ( maximum benefit)","6.1. Financial cost for schools (transportation, food services, utilities bill school...)","6.2. Environmental effects","6.3. Effects on family life","6.4. Childcare issues","7. Please rate effects of a Four-Day week would be on teachers/School. 1 (negative effect) to 5 ( maximum benefit)","7.1. Financial cost for schools (transportation, food services, utilities bill)","7.2. Time management of staff","7.3. Recruitment of staff","7.4. Work-life balance","7.5. Salary","8. Which key stage would be more suitable the Four-Day School Week?","9. Would you agree if the next academic year implemented a four-day week?","10. Comments?"
"Parent Guardian","England",,"More than £50,000","Master's Degree",,"4","4","3","3","3","5","3",,"2","2","2","4",,"2","4","4","4","4","KS3,KS4,KS5 (A-Level),College","Somewhat agree",
"Staff Member","England",,"More than £50,000","Bachelor's Degree",,"3","2","2","2","2","3","2",,"4","4","3","1",,"4","4","3","5","2","KS5 (A-Level),College","Somewhat agree",
"Student","England",,"Less than £25,000","A-Level",,"5","4","5","5","5","5","5",,"4","3","4","4",,"4","4","4","4","4","College","Completely agree",
"Staff Member,Community Member","England",,"More than £50,000","Bachelor's Degree",,"3","2","4","2","3","3","3",,"2","4","4","2",,"4","4","4","4","2","KS5 (A-Level)","Neither agree not disagree",
"Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"4","3","4","3","4","4","4",,"3","4","4","3",,"4","4","4","4","3","KS5 (A-Level)","Somewhat agree",
"Parent Guardian,Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"2","2","4","2","3","3","2",,"2","3","4","2",,"4","1","4","4","2","KS5 (A-Level),College","Completely disagree","National curriculum is tight enough as it is in terms of having enough teaching time to teach the full curriculum in a five day week to GCSE pupils. A four day week would reduce that time further unless the national curriculum is reduced in terms of content or level of assessment "
"Parent Guardian,Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"2","2","5","3","3","3","2",,"2","2","2","2",,"2","1","1","4","2","KS5 (A-Level)","Somewhat disagree",
"Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"4","2","3","3","5","4","4",,"4","4","5","5",,"4","5","5","5","4","KS3,KS4,KS5 (A-Level)","Completely agree",
"Parent Guardian,Staff Member","England",,"Prefer not to say","Bachelor's Degree",,"4","4","5","4","5","4","5",,"4","5","5","3",,"5","5","5","5","4","KS4,KS5 (A-Level)","Completely agree","Efficiency and productivity could be increased"
"Parent Guardian,Staff Member","England",,"More than £50,000","Bachelor's Degree",,"3","2","4","3","5","5","3",,"5","5","5","2",,"4","3","5","5","3","KS4,KS5 (A-Level)","Somewhat agree",
"Parent Guardian,Staff Member,Community Member","England",,"More than £50,000","Bachelor's Degree",,"2","2","4","3","3","2","3",,"3","3","4","4",,"4","3","4","4","2","KS5 (A-Level),College","Neither agree not disagree",
"Staff Member","England",,"£25,000 - £50,000","Master's Degree",,"5","3","4","3","5","5","5",,"2","4","3","1",,"5","5","5","5","3","KS4,KS5 (A-Level),College","Completely agree",
"Parent Guardian,Staff Member","England",,"£25,000 - £50,000","Master's Degree",,"4","3","4","1","4","4","4",,"5","5","3","1",,"5","4","4","5","1","KS5 (A-Level),College","Completely agree",
"Staff Member","England",,"More than £50,000","Bachelor's Degree",,"3","2","4","2","3","4","3",,"4","3","4","2",,"3","4","4","5","3","KS3","Somewhat agree",
"Parent Guardian,Staff Member","England",,"More than £50,000","Bachelor's Degree",,"2","2","4","2","4","5","4",,"5","5","5","3",,"4","4","4","5","4","KS3","Completely agree",
"Staff Member","England",,"More than £50,000","Bachelor's Degree",,"3","3","3","4","4","5","4",,"5","4","4","5",,"4","5","5","3","3","KS5 (A-Level)","Completely agree",
"Staff Member","England",,"More than £50,000","Bachelor's Degree",,"2","1","4","2","2","2","3",,"4","4","2","1",,"4","4","4","5","2","College","Somewhat agree","As most parents work this has to be wider programme than just schools. FSM and support of most disadvantaged students could be a big draw back even through it is a big plus for teachers!"
"Community Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"2","2","4","3","2","4","3",,"2","3","2","2",,"4","3","4","4","2","KS5 (A-Level),College","Somewhat disagree",
"Staff Member","England",,"£25,000 - £50,000","Master's Degree",,"2","1","4","4","3","1","3",,"2","3","1","1",,"2","1","4","4","1","KS5 (A-Level)","Completely disagree",
"Staff Member","England",,"More than £50,000","Bachelor's Degree",,"4","2","4","3","5","4","3",,"3","3","3","2",,"4","5","5","5","3","KS4","Completely agree",
"Staff Member","England",,"Prefer not to say","Bachelor's Degree",,"4","3","4","2","3","3","4",,"5","5","3","2",,"5","3","5","4","3","KS5 (A-Level)","Completely agree",
"Staff Member","England",,"£25,000 - £50,000","Master's Degree",,"3","3","3","2","4","2","4",,"2","2","4","3",,"3","2","4","4","3","KS4,KS5 (A-Level),College","Completely agree","I have seen 4 day weeks offered in some schools for staff, while the school operates on a 5 day week! The benefits seem enormous. "
"Parent Guardian","England",,"£25,000 - £50,000","College",,"3","4","3","4","4","4","3",,"3","3","3","3",,"2","4","5","1","4","KS5 (A-Level),College","Somewhat agree",
"Parent Guardian","England",,"£25,000 - £50,000","GCSE",,"3","3","2","2","2","2","2",,"2","2","1","1",,"2","2","3","1","3","College","Completely disagree",
"Parent Guardian","England",,"Less than £25,000","A-Level",,"3","2","2","2","2","1","1",,"2","2","1","1",,"2","2","1","2","3",,"Completely agree",
"Community Member","England",,"Less than £25,000","A-Level",,"2","3","2","2","2","1","2",,"2","1","2","2",,"2","2","1","2","1","College","Completely disagree",
"Parent Guardian","England",,"Prefer not to say","Bachelor's Degree",,"4","4","4","4","4","4","4",,"4","4","4","4",,"4","4","5","4","4","KS4,KS5 (A-Level),College","Completely agree",
"Parent Guardian","England",,"More than £50,000","Master's Degree",,"4","4","4","3","4","3","4",,"3","3","3","4",,"4","4","3","4","4","KS5 (A-Level),College","Neither agree not disagree",
"Student","England",,"Less than £25,000","A-Level",,"4","4","5","4","5","4","4",,"3","1","3","3",,"4","4","3","3","3","KS5 (A-Level),College","Somewhat agree",
"Parent Guardian","England",,"More than £50,000","Master's Degree",,"4","4","5","4","4","4","4",,"4","2","4","2",,"4","3","3","5","4","KS5 (A-Level),College","Somewhat agree",
"Parent Guardian","England",,"£25,000 - £50,000","Bachelor's Degree",,"3","3","4","2","2","2","2",,"2","3","2","2",,"3","2","4","4","4","College","Neither agree not disagree",
"Parent Guardian","England",,"Prefer not to say","Master's Degree",,"4","3","4","3","3","4","3",,"3","2","4","3",,"3","3","4","4","3","College","Somewhat agree",
"Parent Guardian","England",,"More than £50,000","Master's Degree",,"4","5","4","4",,,"4",,"4","2","4","4",,"4","3","4","4","4","KS4,KS5 (A-Level),College","Somewhat disagree",
"Parent Guardian","England",,"£25,000 - £50,000","A-Level",,"3","2","2","2","1","2","1",,"2","2","2","1",,"2","2","3","3","3","College","Completely agree",
"Parent Guardian","England",,"£25,000 - £50,000","College",,"2","1","3","2","1","2","2",,"2","2","2","1",,"2","2","1","2","1","College","Completely disagree",
"Parent Guardian","England",,"£25,000 - £50,000","Bachelor's Degree",,"2","3","2","2","1","1","1",,"3","2","2","2",,"2","3","4","4","4","College","Somewhat disagree",
"Parent Guardian","England",,"More than £50,000","Master's Degree",,"4","4","4","4","5","4","4",,"4","2","4","4",,"4","4","4","4","4","KS5 (A-Level),College","Somewhat agree",
"Parent Guardian","England",,"£25,000 - £50,000","Bachelor's Degree",,"4","2","4","4","4","3","4",,"4","3","4","4",,"4","5","5","5","5","KS5 (A-Level)","Somewhat agree",
"Student","England",,"Less than £25,000","A-Level",,"5","5","5","5","5","5","5",,"4","4","4","4",,"4","4","4","4","4","KS3,KS4,KS5 (A-Level),College","Completely agree",
"Student","England",,"Less than £25,000","A-Level",,"5","5","5","5","5","5","5",,"5","4","5","5",,"5","5","4","5","5","KS3,KS4,KS5 (A-Level),College","Completely agree",
"Student","England",,"Less than £25,000","A-Level",,"5","5","5","5","5","5","5",,"5","5","5","5",,"4","5","5","5","3","KS4,KS5 (A-Level),College","Completely agree",
"Parent Guardian","England",,"£25,000 - £50,000","College",,"4","3","4","2","2","3","2",,"3","4","4","2",,"3","4","3","5","3","KS5 (A-Level),College","Somewhat agree",
"Parent Guardian","England",,"Less than £25,000","A-Level",,"2","3","2","2","3","2","2",,"2","2","1","1",,"2","3","5","5","2",,"Completely disagree",
"Parent Guardian","England",,"Less than £25,000",,,,,,,,,,,,,,,,,,,,,,,
"Student","England",,"Less than £25,000","A-Level",,"5","5","5","5","5","5","5",,"3","3","3","3",,"3","3","3","3","3","KS3,KS4,KS5 (A-Level),College","Completely agree",
"Parent Guardian","England",,"More than £50,000","Master's Degree",,"5","4","4","4","4","4","4",,"4","2","3","3",,"4","4","4","5","4","KS4,KS5 (A-Level),College","Completely agree",
"Student","England",,"Less than £25,000","A-Level",,"5","4","4","4","4","4","4",,"4","4","4","4",,"3","3","4","3","3","KS4,KS5 (A-Level),College","Completely agree",
"Parent Guardian","England",,"Prefer not to say","Master's Degree",,"1","1","1","1","1","1","1",,"1","1","1","1",,"5","3","1","1","1","College","Completely agree",
"Staff Member","England",,"More than £50,000","Master's Degree",,"4","4","4","3","4","4","4",,"3","3","4","3",,"4","4","4","5","4","KS4,KS5 (A-Level),College","Completely agree",
"Parent Guardian","England",,"More than £50,000","Master's Degree",,"4","5","4","5","5","5","5",,"4","4","5","4",,"4","5","5","4","5","KS4,KS5 (A-Level),College","Completely agree",
"Parent Guardian","England",,"£25,000 - £50,000","A-Level",,"3","2","3","3","2","3","3",,"2","2","3","2",,"3","2","3","4","3",,"Somewhat disagree",
"Parent Guardian,Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"5","5","5","5","2","5","5",,"4","5","4","4",,"5","4","4","4","3","KS5 (A-Level),College","Completely agree",
"Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"5","5","4","2","2","5","4",,"4","2","3","4",,"4","3","4","3","3","KS4,KS5 (A-Level),College","Somewhat agree",
"Parent Guardian,Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"5","3","5","2","2","4","4",,"4","2","5","5",,"4","3","5","5","5","KS4,KS5 (A-Level),College","Completely agree",
"Parent Guardian","England",,"Less than £25,000","GCSE",,"3","2","2","2","2","2","2",,"3","2","2","2",,"3","2","4","4","4",,"Completely disagree",
"Parent Guardian","England",,"£25,000 - £50,000","College",,"4","4","4","4","2","4","3",,"4","4","4","4",,"5","5","5","5","5","KS4,KS5 (A-Level),College","Somewhat agree",
"Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"5","4","5","2","2","4","4",,"4","2","4","4",,"5","5","5","5","5","KS4,KS5 (A-Level),College","Completely agree",
"Parent Guardian","England",,"More than £50,000","Master's Degree",,"5","5","5","4","3","5","4",,"4","2","4","4",,"3","5","5","5","5","KS3,KS4,KS5 (A-Level),College","Completely agree",
"Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"4","4","5","2","2","4","4",,"4","4","4","4",,"4","4","5","5","5","KS4,KS5 (A-Level),College","Completely agree",
"Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"4","5","4","4","4","5","4",,"4","4","4","3",,"4","5","5","5","5","KS4,KS5 (A-Level),College","Completely agree",
"Student","England",,"Less than £25,000","A-Level",,"5","5","5","5","5","5","5",,"4","4","3","4",,"4","4","4","4","3","KS5 (A-Level),College","Completely agree",
"Student","England",,"Less than £25,000","A-Level",,"5","3","5","5","5","5","5",,"4","5","4","4",,"4","4","3","4","4","KS3,KS4,KS5 (A-Level),College","Completely agree",
"Community Member","England",,"£25,000 - £50,000","College",,"4","3","3","3","2","3","3",,"3","4","3","3",,"3","3","4","4","4","College","Somewhat disagree",
"Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"4","5","5","5","3","3","5",,"4","3","4","4",,"4","5","4","4","5","KS4,KS5 (A-Level),College","Somewhat agree",
"Parent Guardian","England",,"More than £50,000","Bachelor's Degree",,"5","4","5","3","3","5","5",,"5","5","5","5",,"5","5","5","5","5","KS3,KS4,KS5 (A-Level),College","Completely agree",
"Parent Guardian","England",,"£25,000 - £50,000","College",,"2","3","3","2","2","3","2",,"4","3","2","2",,"4","4","4","4","4","College","Somewhat disagree",
